Integrate Cluster Models,CLP-794,29730,Story,To Do,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Aaron Medina,712020:8d50f2c1-55dd-4dff-a75a-716160061869,Aaron Medina,712020:8d50f2c1-55dd-4dff-a75a-716160061869,Aaron Medina,712020:8d50f2c1-55dd-4dff-a75a-716160061869,22/Apr/25 8:36 PM,29/May/25 1:35 PM,,,MarTech 1.0,Engineering - AI Ops,,team#EN,,"Once the cluster models are registered, we will implement them into a notebook that will cluster the full dataset. I’m not quite sure if there are two different efforts required for both clustering types or if they can be integrated together. If that is the case, then I may split this into a separate ticket for both 1 and 2 clustering.",,Aaron Medina,,,,,712020:8d50f2c1-55dd-4dff-a75a-716160061869,,,,,,,,,,,,,,,,We should be able to cluster all data points efficiently and at scale. The resulting dataset will mimic what Tony has created.,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1e64b0b4,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00lc7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0 - Critical / Extensive Impact,,,,,,0|i01r99:,,,,,,,,,,,,,,,,,,,,Eng-AIOps Sprint 5: 5/7-5/21,,,,3.0,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,"20/May/25 8:55 PM;712020:8d50f2c1-55dd-4dff-a75a-716160061869;I was not able to work on this ticket because I ran out of time due to too many meetings. This ticket will need to get rolled over into the next sprint, which will put us Off-Track for psychographics.",,,,,,26688,CLP-14,Eng: Data Integration - Psychographics/Communities,To Do,22/Apr/25 8:36 PM
x_base_fields_filtered - we need to capture x_tweet_matching_rules_tags in the schema,CLP-1004,27722,Story,Backlog,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Gordon Weakliem,712020:ad09f183-8076-46a7-aa12-acabec7a677d,Gordon Weakliem,712020:ad09f183-8076-46a7-aa12-acabec7a677d,Gordon Weakliem,712020:ad09f183-8076-46a7-aa12-acabec7a677d,20/Feb/25 2:31 PM,21/May/25 3:28 PM,,,,Engineering - Platform,,,,"The {{x_tweet_matching_rules_tags}} column in {{e24-prod-data.ev24_ep_data_warehouse_v1_prd.x_filtered_rules__2020_2029__common_v1__source_text_common_fields_v0}} is not accounted for in the base_fields schema.

We need a way to track this field so we have a way to track what filters were in effect that caused a tweet to show up in our feed ",,Gordon Weakliem,,,,,712020:ad09f183-8076-46a7-aa12-acabec7a677d,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@20273cc8,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00hvr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzv20:,,,,,,,,,,,,,,,,,,,,Eng 2/12 - 2/26,,,,,,,,,,,,Auto basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27962,CLP-1065,DBX Post Implementation,To Do,20/Feb/25 2:31 PM
Create Runbook: Secrets Management,CLP-970,26861,Story,Backlog,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Aaron Medina,712020:8d50f2c1-55dd-4dff-a75a-716160061869,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,18/Dec/24 10:13 AM,07/May/25 2:40 PM,,,,Engineering - Platform,,Engineering,,Location: [https://evolve24.atlassian.net/wiki/spaces/PE1/pages/2629795858/Processes#|https://evolve24.atlassian.net/wiki/spaces/PE1/pages/2629795858/Processes#|smart-link] ,,Aaron Medina,Amy Hester,AnnMarie Panganiban,Gordon Weakliem,Mike Livshutz,712020:8d50f2c1-55dd-4dff-a75a-716160061869,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,712020:75a9bdce-6c59-4442-ae6d-c715ad0c97f5,712020:ad09f183-8076-46a7-aa12-acabec7a677d,712020:ee43a870-4be2-4fb3-9922-7cb7c71ddceb,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7266fea0,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00frj:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01qxt:,,,,,,,,,,,,,,,,,,,,ENG 2025 1/15-1/29,ENG 1/29 - 2/12,Eng 2/12 - 2/26,04/Feb/25 12:00 AM,,,,,,,,,Auto basic,,,,,,,,,,,,,,,,,,,,,2025-02-04 21:05:31.152,,04/Feb/25 4:05 PM;712020:75a9bdce-6c59-4442-ae6d-c715ad0c97f5;We can probably write a runbook for Secrets Management after this ticket is implemented.  [https://evolve24.atlassian.net/browse/TEP-929|https://evolve24.atlassian.net/browse/TEP-929|smart-link] ,14/Feb/25 7:48 AM;712020:ee43a870-4be2-4fb3-9922-7cb7c71ddceb;[~accountid:712020:75a9bdce-6c59-4442-ae6d-c715ad0c97f5]  - It looks like the team still needs to decide on GCP secrets vs Databricks secrets. Hence I’d like to wait to write this Runbook until after we decide this.,"19/Feb/25 11:17 AM;712020:75a9bdce-6c59-4442-ae6d-c715ad0c97f5;Please update this [~accountid:712020:8d50f2c1-55dd-4dff-a75a-716160061869] [~accountid:712020:ee43a870-4be2-4fb3-9922-7cb7c71ddceb] as you see fit
[Secrets - Platform Engineering - Confluence|https://evolve24.atlassian.net/wiki/spaces/PE1/pages/2941353987/Secrets]",14/Apr/25 10:55 AM;712020:ad09f183-8076-46a7-aa12-acabec7a677d;Is this done? Is there anything to do here?,"17/Apr/25 1:28 PM;712020:8d50f2c1-55dd-4dff-a75a-716160061869;No [~accountid:712020:ad09f183-8076-46a7-aa12-acabec7a677d] : This is in my backlog but has been deprioritized. Essentially, creating documentation on how to use and implement Secrets into our code. I hope to get to this eventually.",,27962,CLP-1065,DBX Post Implementation,To Do,19/Feb/25 4:14 PM
Move metabase ingestors from e24-prd-processing-k8s-1 to e24-prd-ep-ingest-cluster-gke,CLP-964,29336,Story,To Do,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,,,Gordon Weakliem,712020:ad09f183-8076-46a7-aa12-acabec7a677d,Gordon Weakliem,712020:ad09f183-8076-46a7-aa12-acabec7a677d,10/Apr/25 3:00 PM,04/Jun/25 11:45 AM,,,,Engineering - Platform,,ENG_Plat_Sprint_5_Backup,,"We need to move the following from e24-prd-processing-k8s-1 to e24-prd-ep-ingest-cluster-gke

prd--ep-ingest-metabase-news--v1

prd--ep-ingest-metabase-social--v1

this gets all of the ingestors onto the same k8s cluster",,Gordon Weakliem,Sayan Chatterjee,,,,712020:ad09f183-8076-46a7-aa12-acabec7a677d,712020:a087f6c2-b8bc-411f-a8e4-ecf212c593c4,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@45b5471c,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00klr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzuwg:zzzi,,,,,,,,,,,,,,,,,,,,Eng-Plat Sprint 5: 5/7-5/21,Eng-AIOps Sprint 6: 5/21-6/4,,,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,2025-05-01 17:33:43.638,,01/May/25 1:33 PM;712020:a087f6c2-b8bc-411f-a8e4-ecf212c593c4;Not enough info available to storypoint just yet. [~accountid:712020:ec86a4cf-89f0-4006-8886-2200d1cfb258] to follow up with Rama on that.,,,,,,27962,CLP-1065,DBX Post Implementation,To Do,10/Apr/25 3:00 PM
Implement validity check in x_base_fields table,CLP-949,26574,Story,Backlog,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Gordon Weakliem,712020:ad09f183-8076-46a7-aa12-acabec7a677d,Gordon Weakliem,712020:ad09f183-8076-46a7-aa12-acabec7a677d,Gordon Weakliem,712020:ad09f183-8076-46a7-aa12-acabec7a677d,14/Oct/24 11:12 AM,07/May/25 1:03 PM,,,,Engineering - Platform,,,,The validity check should be moved from the general_info table to x_base_fields. Downstream tables should filter on the is_valid column when selecting rows.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@47697aad,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00e2v:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01qep:,,,,,,,,,,,,,,,,,,,,Engineer 10/10 - 10/24,Engineer 10/23 - 11/06,ENG Dashboard 12/18-1/1,,,2.0,,,,,,,Auto basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27962,CLP-1065,DBX Post Implementation,To Do,14/Oct/24 11:12 AM
Improved support for status on competitor product brands,CLP-1303,31627,Story,Grooming,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,,,Aaron Boyarsky,712020:195ff285-b937-432c-ba40-e30283538994,Aaron Boyarsky,712020:195ff285-b937-432c-ba40-e30283538994,09/Jun/25 8:53 AM,09/Jun/25 8:54 AM,,,,Engineering - Product,,,,"Competitor product brands are created without a status, which makes loading them from the /brand/{brandId} endpoint fail. We need to either create them with a ‘ready’ status, or adjust that endpoint to remove the status check for competitor product brands (since they don’t really have a status).",,Aaron Boyarsky,,,,,712020:195ff285-b937-432c-ba40-e30283538994,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@28db7a17,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00o13:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01tn1:,,,,,,,,,,,,,,,,,,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29644,CLP-771,Organization Management (competitor): Phase 2,To Do,09/Jun/25 8:53 AM
Remove description fields from Company and Competitor Company,CLP-1302,31626,Story,New,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,,,Aaron Boyarsky,712020:195ff285-b937-432c-ba40-e30283538994,Aaron Boyarsky,712020:195ff285-b937-432c-ba40-e30283538994,09/Jun/25 8:52 AM,09/Jun/25 8:52 AM,,,,Engineering - Product,,,,,,Aaron Boyarsky,,,,,712020:195ff285-b937-432c-ba40-e30283538994,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4b662b65,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00o0v:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01tmt:,,,,,,,,,,,,,,,,,,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29644,CLP-771,Organization Management (competitor): Phase 2,To Do,09/Jun/25 8:52 AM
Update Clarvos Logo,CLP-1301,31625,Story,New,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,,,Aaron Boyarsky,712020:195ff285-b937-432c-ba40-e30283538994,Aaron Boyarsky,712020:195ff285-b937-432c-ba40-e30283538994,09/Jun/25 8:50 AM,09/Jun/25 8:51 AM,,,,Engineering - Product,,,,,,Aaron Boyarsky,,,,,712020:195ff285-b937-432c-ba40-e30283538994,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@65715592,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00o0n:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01tml:,,,,,,,,,,,,,,,,,,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29284,CLP-636,SaaS Home Page,To Do,09/Jun/25 8:50 AM
Hexbin graph needs to support arbitrary communication density scale,CLP-1300,31624,Story,New,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,,,Aaron Boyarsky,712020:195ff285-b937-432c-ba40-e30283538994,Aaron Boyarsky,712020:195ff285-b937-432c-ba40-e30283538994,09/Jun/25 8:50 AM,09/Jun/25 8:51 AM,,,,Engineering - Product,,,,* Scale of communication density needs to change based on brand and support values beyond 100,,Aaron Boyarsky,,,,,712020:195ff285-b937-432c-ba40-e30283538994,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5eb1dccf,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00o0f:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01tmd:,,,,,,,,,,,,,,,,,,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29700,CLP-781,Explore Main Page,To Do,09/Jun/25 8:50 AM
Update placeholder timer for strategy generation once we have better idea of duration,CLP-1299,31623,Story,New,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,,,Aaron Boyarsky,712020:195ff285-b937-432c-ba40-e30283538994,Aaron Boyarsky,712020:195ff285-b937-432c-ba40-e30283538994,09/Jun/25 8:48 AM,09/Jun/25 8:49 AM,,,,Engineering - Product,,,,,,Aaron Boyarsky,,,,,712020:195ff285-b937-432c-ba40-e30283538994,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17396c24,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00o07:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01tm5:,,,,,,,,,,,,,,,,,,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29487,CLP-729,Strategies Main Page,To Do,09/Jun/25 8:48 AM
API: Request strategy generation from AI/Ops,CLP-1242,31434,Story,Grooming,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,,,Aaron Boyarsky,712020:195ff285-b937-432c-ba40-e30283538994,Aaron Boyarsky,712020:195ff285-b937-432c-ba40-e30283538994,03/Jun/25 12:01 PM,04/Jun/25 9:35 AM,,,,Engineering - Product,,,,"When the user clicks “Build Strategies” on the home page and calls `POST /strategy ` endpoint, we need that endpoint to trigger a request to AI/Ops, so that they can begin building the strategy.",,Aaron Boyarsky,,,,,712020:195ff285-b937-432c-ba40-e30283538994,,,,,,,,,,,,,,,CLP-1105,"* If the call to AI/Ops endpoint fails, we can just send a 500 Server Error response from our endpoint for now. The user can try again. We can probably omit retrying the request for now since there is an easy way to recover.
** If the request fails, the user should be left where they were on the Home Page in the UI, so that they can submit again.
* Only after the request to AI/Ops succeeds should we create the Strategy in our DB",,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6429b78e,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00nmn:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01l5x:9,,,,,,,,,,,,,,,,,,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,,,,"AI/Ops endpoint to call: [GROOMING] what is the URL?

Request Body: [GROOMING] What data does this endpoint require?",,,,,,,,,,,,,,,,,,,,,,,,,,29284,CLP-636,SaaS Home Page,To Do,03/Jun/25 12:01 PM
Placeholder:   Home Page Title and Context (TBD),CLP-861,30260,Story,New,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Michelle Kramer,712020:0f6d20ee-2b8c-4ede-9734-761d7ce0d272,Michelle Kramer,712020:0f6d20ee-2b8c-4ede-9734-761d7ce0d272,Michelle Kramer,712020:0f6d20ee-2b8c-4ede-9734-761d7ce0d272,01/May/25 9:07 PM,28/May/25 7:02 AM,30/May/25 6:53 AM,,MarTech 1.0,Engineering - Product,,,,TBD: Copy,,Michelle Kramer,,,,,712020:0f6d20ee-2b8c-4ede-9734-761d7ce0d272,,,,,,,,,,,,,,CLP-857,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1bfdce13,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00lxr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0 - Critical / Extensive Impact,,,,,,0|i01l6c:i,,,,,,,,,,,,,,,,,,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29284,CLP-636,SaaS Home Page,To Do,01/May/25 9:07 PM
Placeholder:   Home Page Carousel Title and Context (TBD),CLP-860,30256,Story,New,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Michelle Kramer,712020:0f6d20ee-2b8c-4ede-9734-761d7ce0d272,Michelle Kramer,712020:0f6d20ee-2b8c-4ede-9734-761d7ce0d272,Easy Clone for Jira Cloud,712020:8aca7014-d19c-4f1b-962e-1b1c72833e8e,01/May/25 9:06 PM,28/May/25 7:02 AM,,,MarTech 1.0,Engineering - Product,,,,TBD: Copy,,Easy Clone for Jira Cloud,,,,,712020:8aca7014-d19c-4f1b-962e-1b1c72833e8e,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@319adf2,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00lxj:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0 - Critical / Extensive Impact,,,,,,0|i01l6c:,,,,,,,,,,,,,,,,,,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29284,CLP-636,SaaS Home Page,To Do,01/May/25 9:06 PM
"Placeholder:   Home Page ""Context Area Topics"" Title and Context (TBD)",CLP-858,30246,Story,New,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Michelle Kramer,712020:0f6d20ee-2b8c-4ede-9734-761d7ce0d272,Michelle Kramer,712020:0f6d20ee-2b8c-4ede-9734-761d7ce0d272,Easy Clone for Jira Cloud,712020:8aca7014-d19c-4f1b-962e-1b1c72833e8e,01/May/25 8:30 PM,28/May/25 7:02 AM,,,MarTech 1.0,Engineering - Product,,,,TBD: Copy,,Easy Clone for Jira Cloud,,,,,712020:8aca7014-d19c-4f1b-962e-1b1c72833e8e,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@a555bdb,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00lx3:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0 - Critical / Extensive Impact,,,,,,0|i01l6b:,,,,,,,,,,,,,,,,,,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29284,CLP-636,SaaS Home Page,To Do,01/May/25 8:30 PM
"Placeholder:   Home Page ""Audience"" Group Title and Context (TBD)",CLP-857,30241,Story,New,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Michelle Kramer,712020:0f6d20ee-2b8c-4ede-9734-761d7ce0d272,Michelle Kramer,712020:0f6d20ee-2b8c-4ede-9734-761d7ce0d272,Michelle Kramer,712020:0f6d20ee-2b8c-4ede-9734-761d7ce0d272,01/May/25 8:27 PM,28/May/25 7:02 AM,,,MarTech 1.0,Engineering - Product,,,,TBD: Copy,,Michelle Kramer,,,,,712020:0f6d20ee-2b8c-4ede-9734-761d7ce0d272,,,,,,,,,,,,,CLP-861,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e852c8a,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00lwv:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0 - Critical / Extensive Impact,,,,,,0|i01l69:,,,,,,,,,,,,,,,,,,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29284,CLP-636,SaaS Home Page,To Do,01/May/25 8:28 PM
"Terraform for Auth0 Tenant, SPA, API, Roles & Permissions",CLP-514,28690,Story,Grooming,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Trey Perry,712020:645bdbd4-05c4-4134-ae6d-36e9054d2ea7,Mark Webb,712020:bdcdd325-b030-4660-8858-8e69cef28409,Mark Webb,712020:bdcdd325-b030-4660-8858-8e69cef28409,21/Mar/25 12:53 PM,03/Jun/25 8:07 AM,,,MarTech 1.0,Engineering - Product,09/Apr/25 12:00 AM,team#EN,,"Create IaC/Terraform for Auth0 resources. This allows us to ensure consistent resources (ex: Roles, Permissions) across environments.

This flow should also stage secrets for the Management API (or any other secrets) in Secret Manager for the backend to consume.",,Mark Webb,,,,,712020:bdcdd325-b030-4660-8858-8e69cef28409,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d23d767,,,,,,,,,,,,,,,,,Engineering  EN,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00jfj:,,,,purple,X-Small = 1 Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,Program Increment 1,,,,0|i01km4:5,,,,,,,,,,,,,,,,,,,,MarTech Eng Sprint2: 3/26-4/9,MarTech Eng Sprint3 4/9 - 4/23,,27/Mar/25 12:00 AM,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28865,CLP-565,Eng: Infrastructure Setup Enhancements,To Do,02/Apr/25 2:35 PM
